Nombre.del.archivo;Grupo;Tipo.celular;Tratamiento;Nombre.corto
GSM4018743_ABD1.CEL;LNCAP.DMSO;LNCAP;DMSO;LNCAP.DMSO.1
GSM4018744_ABD2.CEL;LNCAP.DMSO;LNCAP;DMSO;LNCAP.DMSO.2
GSM4018745_ABD3.CEL;LNCAP.DMSO;LNCAP;DMSO;LNCAP.DMSO.3
GSM4018746_ABD4.CEL;LNCAP.EPZ;LNCAP;EPZ;LNCAP.EPZ.1
GSM4018747_ABD5.CEL;LNCAP.EPZ;LNCAP;EPZ;LNCAP.EPZ.2
GSM4018748_ABD6.CEL;LNCAP.EPZ;LNCAP;EPZ;LNCAP.EPZ.3
GSM4018749_ABD7.CEL;PC3.DMSO;PC3;DMSO;PC3.DMSO.1
GSM4018750_ABD8.CEL;PC3.DMSO;PC3;DMSO;PC3.DMSO.2
GSM4018751_ABD9.CEL;PC3.DMSO;PC3;DMSO;PC3.DMSO.3
GSM4018752_ABD10.CEL;PC3.EPZ;PC3;EPZ;PC3.EPZ.1
GSM4018753_ABD11.CEL;PC3.EPZ;PC3;EPZ;PC3.EPZ.2
GSM4018754_ABD12.CEL;PC3.EPZ;PC3;EPZ;PC3.EPZ.3
